id,title,duration,gender_list,release_date,user_rating,nb_user_rating
4633694,Spider-Man: Into the Spider-Verse,1hour57minutes,,"December 14, 2018 (Canada)",8.4,641K
7784604,Hereditary,2hours7minutes,,"June 8, 2018 (Canada)",7.3,362K
5814060,The Nun,1hour36minutes,,"September 7, 2018 (Canada)",5.3,165K
2709692,Dr. Seuss' the Grinch,1hour25minutes,,"November 9, 2018 (Canada)",6.4,81K
4154756,Avengers: Infinity War,2hours29minutes,,"April 27, 2018 (Canada)",8.4,1.2M
1034415,Suspiria,2hours32minutes,,"November 2, 2018 (United States)",6.7,89K
2873282,Red Sparrow,2hours20minutes,,"March 2, 2018 (Canada)",6.6,197K
4912910,Mission: Impossible - Fallout,2hours27minutes,,"July 27, 2018 (Canada)",7.7,368K
1270797,Venom,1hour52minutes,,"October 5, 2018 (Canada)",6.6,523K
5463162,Deadpool 2,1hour59minutes,,"May 18, 2018 (Canada)",7.6,625K
6644200,A Quiet Place,1hour30minutes,,"April 6, 2018 (Canada)",7.5,568K
3766354,The Equalizer 2,2hours1minute,,"July 20, 2018 (Canada)",6.7,186K
6412452,The Ballad of Buster Scruggs,2hours13minutes,,"November 16, 2018 (Canada)",7.3,163K
6966692,Green Book,2hours10minutes,,"November 21, 2018 (Canada)",8.2,542K
7349662,BlacKkKlansman,2hours15minutes,,"August 10, 2018 (United States)",7.5,283K
1825683,Black Panther,2hours14minutes,,"February 16, 2018 (Canada)",7.3,821K
1727824,Bohemian Rhapsody,2hours14minutes,,"November 2, 2018 (Canada)",7.9,574K
1677720,Ready Player One,2hours20minutes,,"March 29, 2018 (Canada)",7.4,469K
4779682,The Meg,1hour53minutes,,"August 10, 2018 (Canada)",5.6,202K
3829266,The Predator,1hour47minutes,,"September 14, 2018 (Canada)",5.3,141K
3104988,Crazy Rich Asians,2hours,,"August 15, 2018 (Canada)",6.9,185K
5083738,The Favourite,1hour59minutes,,"December 21, 2018 (United States)",7.5,215K
1477834,Aquaman,2hours23minutes,,"December 21, 2018 (Canada)",6.8,505K
4003440,The House That Jack Built,2hours32minutes,,"October 17, 2018 (France)",6.8,88K
7040874,A Simple Favour,1hour57minutes,,"September 14, 2018 (Canada)",6.8,159K
2798920,Annihilation,1hour55minutes,,"February 23, 2018 (Canada)",6.8,352K
1502407,Halloween,1hour46minutes,,"October 19, 2018 (Canada)",6.5,166K
6499752,Upgrade,1hour40minutes,,"June 29, 2018 (Canada)",7.5,200K
5726086,Insidious: The Last Key,1hour43minutes,,"January 5, 2018 (Canada)",5.7,70K
6628394,Bad Times at the El Royale,2hours21minutes,,"October 12, 2018 (Canada)",7.1,161K
3606756,Incredibles 2,1hour58minutes,,"June 15, 2018 (Canada)",7.6,321K
1517451,A Star Is Born,2hours16minutes,,"October 5, 2018 (Canada)",7.6,408K
5052474,Sicario: Day of the Soldado,2hours2minutes,,"June 29, 2018 (Canada)",7.1,162K
6998518,Mandy,2hours1minute,,"September 14, 2018 (United States)",6.5,87K
4477536,Fifty Shades Freed,1hour45minutes,,"February 9, 2018 (Canada)",4.5,72K
8267604,Capernaum,2hours6minutes,,"September 20, 2018 (Lebanon)",8.4,101K
4073790,The Darkest Minds,1hour44minutes,,"August 3, 2018 (Canada)",5.7,35K
6857166,Book Club,1hour44minutes,,"May 18, 2018 (Canada)",6.1,32K
8359848,Climax,1hour37minutes,,"September 19, 2018 (France)",6.9,77K
5164214,Ocean's 8,1hour50minutes,,"June 8, 2018 (Canada)",6.3,236K
3778644,Solo: A Star Wars Story,2hours15minutes,,"May 25, 2018 (Canada)",6.9,371K
2737304,Bird Box,2hours4minutes,,"December 21, 2018 (Canada)",6.6,375K
1226837,Beautiful Boy,2hours,,"October 25, 2018 (Israel)",7.4,93K
5691670,Under the Silver Lake,2hours19minutes,,"April 19, 2019 (United States)",6.5,49K
2557478,Pacific Rim: Uprising,1hour51minutes,,"March 23, 2018 (Canada)",5.6,124K
4881806,Jurassic World: Fallen Kingdom,2hours8minutes,,"June 22, 2018 (Canada)",6.1,336K
3799232,The Kissing Booth,1hour45minutes,,"May 11, 2018 (Canada)",5.9,91K
4701182,Bumblebee,1hour54minutes,,"December 21, 2018 (Canada)",6.7,184K
4123430,Fantastic Beasts: The Crimes of Grindelwald,2hours14minutes,,"November 16, 2018 (Canada)",6.5,301K
7401588,Instant Family,1hour58minutes,,"November 16, 2018 (Canada)",7.3,116K
